2017-09-07 13:26:30   mouse movement trajectory: ( 66, 550 )
2017-09-07 13:26:33   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:26:33   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:26:33   mouse movement trajectory: ( 92, 362 )
2017-09-07 13:26:33   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:26:33   mouse movement trajectory: ( 102, 352 )
2017-09-07 13:26:34   mouse movement trajectory: ( 108, 346 )
2017-09-07 13:26:34   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:26:34   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:26:34   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:26:34   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:26:34   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:26:34   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:26:34   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:26:34   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:26:34   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:26:34   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:26:34   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:26:34   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:26:34   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:26:34   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:26:34   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:26:34   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:26:35   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:26:35   mouse movement trajectory: ( 130, 336 )
2017-09-07 13:26:35   mouse movement trajectory: ( 124, 320 )
2017-09-07 13:26:35   mouse movement trajectory: ( 122, 316 )
2017-09-07 13:26:35   mouse movement trajectory: ( 120, 310 )
2017-09-07 13:26:35   mouse movement trajectory: ( 120, 308 )
2017-09-07 13:26:35   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:26:35   mouse movement trajectory: ( 120, 306 )
2017-09-07 13:26:35   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:26:35   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:26:35   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:26:35   mouse movement trajectory: ( 122, 306 )
2017-09-07 13:26:35   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:26:35   mouse movement trajectory: ( 124, 304 )
2017-09-07 13:26:35   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:26:35   mouse movement trajectory: ( 128, 304 )
2017-09-07 13:26:35   mouse movement trajectory: ( 134, 300 )
2017-09-07 13:26:35   mouse movement trajectory: ( 136, 300 )
2017-09-07 13:26:36   mouse movement trajectory: ( 138, 300 )
2017-09-07 13:26:36   mouse movement trajectory: ( 140, 300 )
2017-09-07 13:26:36   mouse movement trajectory: ( 140, 298 )
2017-09-07 13:26:36   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:26:36   mouse movement trajectory: ( 142, 298 )
2017-09-07 13:26:36   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:26:36   mouse movement trajectory: ( 144, 298 )
2017-09-07 13:26:36   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:26:36   mouse movement trajectory: ( 144, 296 )
2017-09-07 13:26:36   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:26:36   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:26:36   mouse movement trajectory: ( 144, 290 )
2017-09-07 13:26:36   mouse movement trajectory: ( 142, 288 )
2017-09-07 13:26:36   mouse movement trajectory: ( 140, 286 )
2017-09-07 13:26:36   mouse movement trajectory: ( 138, 284 )
2017-09-07 13:26:36   mouse movement trajectory: ( 134, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 130, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:26:37   mouse movement trajectory: ( 128, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:26:37   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:26:37   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:26:37   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:26:37   mouse movement trajectory: ( 132, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:26:37   mouse movement trajectory: ( 146, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 162, 284 )
2017-09-07 13:26:37   mouse movement trajectory: ( 164, 282 )
2017-09-07 13:26:37   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:26:37   mouse movement trajectory: ( 162, 282 )
2017-09-07 13:26:37   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:26:38   mouse movement trajectory: ( 148, 282 )
2017-09-07 13:26:38   mouse movement trajectory: ( 122, 286 )
2017-09-07 13:26:38   mouse movement trajectory: ( 116, 286 )
2017-09-07 13:26:38   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:26:38   mouse movement trajectory: ( 114, 286 )
2017-09-07 13:26:38   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:26:38   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:26:38   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:26:38   mouse movement trajectory: ( 132, 282 )
2017-09-07 13:26:38   mouse movement trajectory: ( 142, 282 )
2017-09-07 13:26:38   mouse movement trajectory: ( 154, 312 )
2017-09-07 13:26:38   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:26:38   mouse movement trajectory: ( 154, 338 )
2017-09-07 13:26:38   mouse movement trajectory: ( 154, 368 )
2017-09-07 13:26:38   mouse movement trajectory: ( 152, 414 )
2017-09-07 13:26:38   mouse movement trajectory: ( 102, 352 )
2017-09-07 13:26:38   mouse movement trajectory: ( 144, 448 )
2017-09-07 13:26:38   mouse movement trajectory: ( 108, 346 )
2017-09-07 13:26:38   mouse movement trajectory: ( 138, 466 )
2017-09-07 13:26:39   mouse movement trajectory: ( 138, 470 )
2017-09-07 13:26:39   mouse movement trajectory: ( 136, 470 )
2017-09-07 13:26:39   mouse movement trajectory: ( 134, 472 )
2017-09-07 13:26:39   mouse movement trajectory: ( 130, 472 )
2017-09-07 13:26:39   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:26:39   mouse movement trajectory: ( 128, 472 )
2017-09-07 13:26:39   mouse movement trajectory: ( 126, 470 )
2017-09-07 13:26:39   mouse movement trajectory: ( 124, 466 )
2017-09-07 13:26:39   mouse movement trajectory: ( 122, 444 )
2017-09-07 13:26:39   mouse movement trajectory: ( 122, 428 )
2017-09-07 13:26:39   mouse movement trajectory: ( 138, 386 )
2017-09-07 13:26:39   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:26:39   mouse movement trajectory: ( 152, 362 )
2017-09-07 13:26:39   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:26:39   mouse movement trajectory: ( 160, 352 )
2017-09-07 13:26:39   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:39   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:39   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:39   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:40   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:40   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:40   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:40   mouse movement trajectory: ( 164, 350 )
2017-09-07 13:26:40   mouse movement trajectory: ( 168, 348 )
2017-09-07 13:26:40   mouse movement trajectory: ( 174, 348 )
2017-09-07 13:26:40   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:26:40   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:26:40   mouse movement trajectory: ( 176, 348 )
2017-09-07 13:26:40   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:26:40   mouse movement trajectory: ( 178, 352 )
2017-09-07 13:26:40   mouse movement trajectory: ( 178, 354 )
2017-09-07 13:26:40   mouse movement trajectory: ( 178, 358 )
2017-09-07 13:26:40   mouse movement trajectory: ( 178, 362 )
2017-09-07 13:26:40   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:26:40   mouse movement trajectory: ( 168, 372 )
2017-09-07 13:26:40   mouse movement trajectory: ( 154, 380 )
2017-09-07 13:26:40   mouse movement trajectory: ( 144, 382 )
2017-09-07 13:26:41   mouse movement trajectory: ( 142, 382 )
2017-09-07 13:26:41   mouse movement trajectory: ( 140, 382 )
2017-09-07 13:26:41   mouse movement trajectory: ( 138, 380 )
2017-09-07 13:26:41   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:26:41   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:26:41   mouse movement trajectory: ( 136, 378 )
2017-09-07 13:26:41   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:26:41   mouse movement trajectory: ( 136, 370 )
2017-09-07 13:26:41   mouse movement trajectory: ( 136, 370 )
2017-09-07 13:26:41   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:26:41   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:26:41   mouse movement trajectory: ( 146, 358 )
2017-09-07 13:26:41   mouse movement trajectory: ( 150, 356 )
2017-09-07 13:26:41   mouse movement trajectory: ( 154, 356 )
2017-09-07 13:26:41   mouse movement trajectory: ( 156, 356 )
2017-09-07 13:26:41   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:26:41   mouse movement trajectory: ( 156, 358 )
2017-09-07 13:26:41   mouse movement trajectory: ( 158, 358 )
2017-09-07 13:26:42   mouse movement trajectory: ( 160, 364 )
2017-09-07 13:26:42   mouse movement trajectory: ( 160, 368 )
2017-09-07 13:26:42   mouse movement trajectory: ( 160, 374 )
2017-09-07 13:26:42   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:26:42   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:26:42   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:26:42   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:26:42   mouse movement trajectory: ( 130, 336 )
2017-09-07 13:26:42   mouse movement trajectory: ( 164, 374 )
2017-09-07 13:26:42   mouse movement trajectory: ( 164, 374 )
2017-09-07 13:26:42   mouse movement trajectory: ( 164, 374 )
2017-09-07 13:26:42   mouse movement trajectory: ( 124, 320 )
2017-09-07 13:26:42   mouse movement trajectory: ( 170, 372 )
2017-09-07 13:26:42   mouse movement trajectory: ( 174, 370 )
2017-09-07 13:26:42   mouse movement trajectory: ( 176, 370 )
2017-09-07 13:26:42   mouse movement trajectory: ( 182, 366 )
2017-09-07 13:26:42   mouse movement trajectory: ( 190, 364 )
2017-09-07 13:26:42   mouse movement trajectory: ( 200, 358 )
2017-09-07 13:26:43   mouse movement trajectory: ( 206, 354 )
2017-09-07 13:26:43   mouse movement trajectory: ( 122, 316 )
2017-09-07 13:26:43   mouse movement trajectory: ( 120, 310 )
2017-09-07 13:26:43   mouse movement trajectory: ( 212, 350 )
2017-09-07 13:26:43   mouse movement trajectory: ( 218, 346 )
2017-09-07 13:26:43   mouse movement trajectory: ( 224, 342 )
2017-09-07 13:26:43   mouse movement trajectory: ( 224, 340 )
2017-09-07 13:26:43   mouse movement trajectory: ( 230, 334 )
2017-09-07 13:26:43   mouse movement trajectory: ( 236, 330 )
2017-09-07 13:26:43   mouse movement trajectory: ( 238, 328 )
2017-09-07 13:26:43   mouse movement trajectory: ( 242, 326 )
2017-09-07 13:26:43   mouse movement trajectory: ( 120, 308 )
2017-09-07 13:26:43   mouse movement trajectory: ( 248, 322 )
2017-09-07 13:26:43   mouse movement trajectory: ( 144, 336 )
2017-09-07 13:26:44   mouse movement trajectory: ( 250, 320 )
2017-09-07 13:26:44   mouse movement trajectory: ( 256, 316 )
2017-09-07 13:26:44   mouse movement trajectory: ( 258, 314 )
2017-09-07 13:26:44   mouse movement trajectory: ( 260, 312 )
2017-09-07 13:26:44   mouse movement trajectory: ( 120, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 262, 310 )
2017-09-07 13:26:44   mouse movement trajectory: ( 264, 310 )
2017-09-07 13:26:44   mouse movement trajectory: ( 266, 308 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 270, 306 )
2017-09-07 13:26:44   mouse movement trajectory: ( 272, 302 )
2017-09-07 13:26:44   mouse movement trajectory: ( 274, 302 )
2017-09-07 13:26:44   mouse movement trajectory: ( 146, 338 )
2017-09-07 13:26:44   mouse movement trajectory: ( 146, 340 )
2017-09-07 13:26:45   mouse movement trajectory: ( 274, 300 )
2017-09-07 13:26:45   mouse movement trajectory: ( 276, 298 )
2017-09-07 13:26:45   mouse movement trajectory: ( 278, 298 )
2017-09-07 13:26:45   mouse movement trajectory: ( 280, 296 )
2017-09-07 13:26:45   mouse movement trajectory: ( 148, 344 )
2017-09-07 13:26:45   mouse movement trajectory: ( 282, 296 )
2017-09-07 13:26:45   mouse movement trajectory: ( 122, 306 )
2017-09-07 13:26:45   mouse movement trajectory: ( 150, 348 )
2017-09-07 13:26:45   mouse movement trajectory: ( 284, 294 )
2017-09-07 13:26:45   mouse movement trajectory: ( 286, 294 )
2017-09-07 13:26:45   mouse movement trajectory: ( 124, 304 )
2017-09-07 13:26:45   mouse movement trajectory: ( 288, 294 )
2017-09-07 13:26:45   mouse movement trajectory: ( 292, 292 )
2017-09-07 13:26:45   mouse movement trajectory: ( 296, 290 )
2017-09-07 13:26:45   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:45   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:45   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:45   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:45   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:46   mouse movement trajectory: ( 298, 290 )
2017-09-07 13:26:46   mouse movement trajectory: ( 302, 286 )
2017-09-07 13:26:46   mouse movement trajectory: ( 304, 286 )
2017-09-07 13:26:46   mouse movement trajectory: ( 152, 358 )
2017-09-07 13:26:46   mouse movement trajectory: ( 308, 282 )
2017-09-07 13:26:46   mouse movement trajectory: ( 128, 304 )
2017-09-07 13:26:46   mouse movement trajectory: ( 310, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 312, 280 )
2017-09-07 13:26:46   mouse movement trajectory: ( 134, 300 )
2017-09-07 13:26:46   mouse movement trajectory: ( 136, 300 )
2017-09-07 13:26:46   mouse movement trajectory: ( 138, 300 )
2017-09-07 13:26:46   mouse movement trajectory: ( 140, 300 )
2017-09-07 13:26:46   mouse movement trajectory: ( 140, 298 )
2017-09-07 13:26:47   mouse movement trajectory: ( 152, 364 )
2017-09-07 13:26:47   mouse movement trajectory: ( 142, 298 )
2017-09-07 13:26:47   mouse movement trajectory: ( 152, 370 )
2017-09-07 13:26:47   mouse movement trajectory: ( 144, 298 )
2017-09-07 13:26:47   mouse movement trajectory: ( 150, 372 )
2017-09-07 13:26:47   mouse movement trajectory: ( 144, 296 )
2017-09-07 13:26:47   mouse movement trajectory: ( 150, 378 )
2017-09-07 13:26:47   mouse movement trajectory: ( 148, 382 )
2017-09-07 13:26:47   mouse movement trajectory: ( 144, 290 )
2017-09-07 13:26:47   mouse movement trajectory: ( 142, 288 )
2017-09-07 13:26:47   mouse movement trajectory: ( 140, 286 )
2017-09-07 13:26:47   mouse movement trajectory: ( 138, 284 )
2017-09-07 13:26:47   mouse movement trajectory: ( 134, 284 )
2017-09-07 13:26:47   mouse movement trajectory: ( 130, 284 )
2017-09-07 13:26:47   mouse movement trajectory: ( 146, 382 )
2017-09-07 13:26:48   mouse movement trajectory: ( 128, 284 )
2017-09-07 13:26:48   mouse movement trajectory: ( 142, 384 )
2017-09-07 13:26:48   mouse movement trajectory: ( 140, 384 )
2017-09-07 13:26:48   mouse movement trajectory: ( 138, 382 )
2017-09-07 13:26:48   mouse movement trajectory: ( 136, 380 )
2017-09-07 13:26:48   mouse movement trajectory: ( 132, 284 )
2017-09-07 13:26:48   mouse movement trajectory: ( 134, 372 )
2017-09-07 13:26:48   mouse movement trajectory: ( 146, 284 )
2017-09-07 13:26:48   mouse movement trajectory: ( 158, 284 )
2017-09-07 13:26:48   mouse movement trajectory: ( 162, 284 )
2017-09-07 13:26:48   mouse movement trajectory: ( 164, 282 )
2017-09-07 13:26:48   mouse movement trajectory: ( 130, 366 )
2017-09-07 13:26:48   mouse movement trajectory: ( 162, 282 )
2017-09-07 13:26:48   mouse movement trajectory: ( 126, 348 )
2017-09-07 13:26:48   mouse movement trajectory: ( 148, 282 )
2017-09-07 13:26:48   mouse movement trajectory: ( 122, 286 )
2017-09-07 13:26:48   mouse movement trajectory: ( 116, 286 )
2017-09-07 13:26:49   mouse movement trajectory: ( 300, 264 )
2017-09-07 13:26:49   mouse movement trajectory: ( 290, 252 )
2017-09-07 13:26:49   mouse movement trajectory: ( 274, 234 )
2017-09-07 13:26:49   mouse movement trajectory: ( 240, 200 )
2017-09-07 13:26:49   mouse movement trajectory: ( 220, 184 )
2017-09-07 13:26:49   mouse movement trajectory: ( 126, 330 )
2017-09-07 13:26:49   mouse movement trajectory: ( 190, 152 )
2017-09-07 13:26:49   mouse movement trajectory: ( 158, 122 )
2017-09-07 13:26:49   mouse movement trajectory: ( 150, 112 )
2017-09-07 13:26:49   mouse movement trajectory: ( 136, 96 )
2017-09-07 13:26:49   mouse movement trajectory: ( 130, 90 )
2017-09-07 13:26:49   mouse movement trajectory: ( 126, 84 )
2017-09-07 13:26:49   mouse movement trajectory: ( 122, 78 )
2017-09-07 13:26:49   mouse movement trajectory: ( 114, 286 )
2017-09-07 13:26:49   mouse movement trajectory: ( 112, 60 )
2017-09-07 13:26:49   mouse movement trajectory: ( 110, 54 )
2017-09-07 13:26:49   mouse movement trajectory: ( 126, 328 )
2017-09-07 13:26:49   mouse movement trajectory: ( 108, 52 )
2017-09-07 13:26:50   mouse movement trajectory: ( 126, 326 )
2017-09-07 13:26:50   mouse movement trajectory: ( 106, 48 )
2017-09-07 13:26:50   mouse movement trajectory: ( 126, 324 )
2017-09-07 13:26:50   mouse movement trajectory: ( 132, 282 )
2017-09-07 13:26:50   mouse movement trajectory: ( 104, 44 )
2017-09-07 13:26:50   mouse movement trajectory: ( 100, 40 )
2017-09-07 13:26:50   mouse movement trajectory: ( 90, 28 )
2017-09-07 13:26:50   mouse movement trajectory: ( 142, 282 )
2017-09-07 13:26:50   mouse movement trajectory: ( 154, 312 )
2017-09-07 13:26:50   mouse movement trajectory: ( 128, 324 )
2017-09-07 13:26:50   mouse movement trajectory: ( 154, 338 )
2017-09-07 13:26:50   mouse movement trajectory: ( 154, 368 )
2017-09-07 13:26:50   mouse movement trajectory: ( 152, 414 )
2017-09-07 13:26:50   mouse movement trajectory: ( 102, 352 )
2017-09-07 13:26:50   mouse movement trajectory: ( 144, 448 )
2017-09-07 13:26:50   mouse movement trajectory: ( 108, 346 )
2017-09-07 13:26:50   mouse movement trajectory: ( 138, 466 )
2017-09-07 13:26:50   mouse movement trajectory: ( 138, 470 )
2017-09-07 13:26:51   mouse movement trajectory: ( 136, 470 )
2017-09-07 13:26:51   mouse movement trajectory: ( 134, 472 )
2017-09-07 13:26:51   mouse movement trajectory: ( 130, 472 )
2017-09-07 13:26:51   mouse movement trajectory: ( 128, 326 )
2017-09-07 13:26:51   mouse movement trajectory: ( 128, 472 )
2017-09-07 13:26:51   mouse movement trajectory: ( 126, 470 )
2017-09-07 13:26:51   mouse movement trajectory: ( 124, 466 )
2017-09-07 13:26:51   mouse movement trajectory: ( 122, 444 )
2017-09-07 13:26:51   mouse movement trajectory: ( 122, 428 )
2017-09-07 13:26:51   mouse movement trajectory: ( 138, 386 )
2017-09-07 13:26:51   mouse movement trajectory: ( 118, 338 )
2017-09-07 13:26:51   mouse movement trajectory: ( 152, 362 )
2017-09-07 13:26:51   mouse movement trajectory: ( 126, 334 )
2017-09-07 13:26:51   mouse movement trajectory: ( 160, 352 )
2017-09-07 13:26:51   mouse movement trajectory: ( 168, 348 )
2017-09-07 13:26:51   mouse movement trajectory: ( 174, 348 )
2017-09-07 13:26:51   mouse movement trajectory: ( 130, 326 )
2017-09-07 13:26:51   mouse movement trajectory: ( 1252, 98 )
2017-09-07 13:26:51   mouse movement trajectory: ( 1260, 96 )
2017-09-07 13:26:52   mouse movement trajectory: ( 130, 328 )
2017-09-07 13:26:52   mouse movement trajectory: ( 176, 348 )
2017-09-07 13:26:52   mouse movement trajectory: ( 130, 330 )
2017-09-07 13:26:52   mouse movement trajectory: ( 178, 352 )
2017-09-07 13:26:52   mouse movement trajectory: ( 178, 354 )
2017-09-07 13:26:52   mouse movement trajectory: ( 178, 358 )
2017-09-07 13:26:52   mouse movement trajectory: ( 178, 362 )
2017-09-07 13:26:52   mouse movement trajectory: ( 132, 334 )
2017-09-07 13:26:52   mouse movement trajectory: ( 168, 372 )
2017-09-07 13:26:52   mouse movement trajectory: ( 154, 380 )
2017-09-07 13:26:52   mouse movement trajectory: ( 144, 382 )
2017-09-07 13:26:52   mouse movement trajectory: ( 142, 382 )
2017-09-07 13:26:52   mouse movement trajectory: ( 140, 382 )
2017-09-07 13:26:52   mouse movement trajectory: ( 138, 380 )
2017-09-07 13:26:52   mouse movement trajectory: ( 132, 336 )
2017-09-07 13:26:52   mouse movement trajectory: ( 132, 338 )
2017-09-07 13:26:52   mouse movement trajectory: ( 136, 378 )
2017-09-07 13:26:52   mouse movement trajectory: ( 132, 340 )
2017-09-07 13:26:53   mouse movement trajectory: ( 136, 370 )
2017-09-07 13:26:53   mouse movement trajectory: ( 134, 342 )
2017-09-07 13:26:53   mouse movement trajectory: ( 132, 332 )
2017-09-07 13:26:53   mouse movement trajectory: ( 146, 358 )
2017-09-07 13:26:53   mouse movement trajectory: ( 150, 356 )
2017-09-07 13:26:53   mouse movement trajectory: ( 154, 356 )
2017-09-07 13:26:53   mouse movement trajectory: ( 156, 356 )
2017-09-07 13:26:53   mouse movement trajectory: ( 136, 332 )
2017-09-07 13:26:53   mouse movement trajectory: ( 156, 358 )
2017-09-07 13:26:53   mouse movement trajectory: ( 158, 358 )
2017-09-07 13:26:53   mouse movement trajectory: ( 160, 364 )
2017-09-07 13:26:53   mouse movement trajectory: ( 160, 368 )
2017-09-07 13:26:53   mouse movement trajectory: ( 160, 374 )
2017-09-07 13:26:53   mouse movement trajectory: ( 138, 332 )
2017-09-07 13:26:53   mouse movement trajectory: ( 140, 332 )
2017-09-07 13:26:54   mouse movement trajectory: ( 142, 334 )
2017-09-07 13:26:54   mouse movement trajectory: ( 144, 334 )
2017-09-07 13:26:54   mouse movement trajectory: ( 130, 336 )
2017-09-07 13:26:54   mouse movement trajectory: ( 164, 374 )
2017-09-07 13:26:54   mouse movement trajectory: ( 124, 320 )
2017-09-07 13:26:54   mouse movement trajectory: ( 170, 372 )
2017-09-07 13:26:54   mouse movement trajectory: ( 174, 370 )
2017-09-07 13:26:54   mouse movement trajectory: ( 176, 370 )
2017-09-07 13:26:54   mouse movement trajectory: ( 182, 366 )
2017-09-07 13:26:54   mouse movement trajectory: ( 190, 364 )
2017-09-07 13:26:54   mouse movement trajectory: ( 200, 358 )
2017-09-07 13:26:54   mouse movement trajectory: ( 206, 354 )
2017-09-07 13:26:54   mouse movement trajectory: ( 122, 316 )
2017-09-07 13:26:54   mouse movement trajectory: ( 120, 310 )
2017-09-07 13:26:54   mouse movement trajectory: ( 212, 350 )
2017-09-07 13:26:54   mouse movement trajectory: ( 218, 346 )
2017-09-07 13:26:54   mouse movement trajectory: ( 224, 342 )
2017-09-07 13:26:55   mouse movement trajectory: ( 224, 340 )
2017-09-07 13:26:55   mouse movement trajectory: ( 230, 334 )
2017-09-07 13:26:55   mouse movement trajectory: ( 1170, 2670 )
